

Dhoomapaana





   
   Dhoomapaana

Chikitsaa Karma,Dhoomapaana
Atiyoga Lakshan`a,Drikbala Kshaya
Atiyoga Lakshan`a,Indriyopataapa
Atiyoga Lakshan`a,Kan`t`ha S`hosha
Atiyoga Lakshan`a,Moha
Atiyoga Lakshan`a,Moorchchhaa
Atiyoga Lakshan`a,Paritaapa
Atiyoga Lakshan`a,Raktapitta
Atiyoga Lakshan`a,Raktasraava
Atiyoga Lakshan`a,S`hira S`hosha
Atiyoga Lakshan`a,Taalu S`hosha
Atiyoga Lakshan`a,Trishn`aa
Heenayoga Lakshan`a,Avis`huddha Svara
Heenayoga Lakshan`a,Na Rogopas`hama
Heenayoga Lakshan`a,S`hira Staimitya
Heenayoga Lakshan`a,Sakapha Kan`t`ha
Vyaapad Lakshan`a,Aandhya
Vyaapad Lakshan`a,Bhrama
Vyaapad Lakshan`a,Raktapitta
Effect on Dosha,Kapha S`hodhana
Effect on Dosha,Kapha Utkles`hahara
Effect on Dosha,Kaphaghna
Effect on Dosha,Vaataghna
Effect on Mala,Kes`ha Paatahara
Indriya,Indriya Bala Vardhaka
Indriya,Indriya Prasaadaka
More Information,Dhoomapaana.htm


