

Abhyanga





   
   Abhyanga 



Chikitsaa Karma,Abhyanga
Arha Vyaadhi,Stree Roga --) Yonivyaapad --) Upaplutaa
Arha Vyaadhi,Stree Roga --) Yonivyaapad --) Vaatalaa
Arha Vyaadhi,Stree Roga --) Yonivyaapad --) Viplutaa
Arha Vyaadhi,Svarabheda
Arha Vyaadhi,Svarabheda --) Pittaja Svarabheda
Arha Vyaadhi,Svarabheda --) Vaataja
Arha Vyaadhi,Trishn`aa (Pipaasaa)
Arha Vyaadhi,Trishn`aa (Pipaasaa) --) Madyaja / Paanaja
Arha Vyaadhi,Udaavarta --) Mootra Nirodhaja
Arha Vyaadhi,Udaavarta --) S`hukranirodhaja
Arha Vyaadhi,Udara
Arha Vyaadhi,Udara --) Jalodara
Arha Vyaadhi,Udara --) Pittaja
Arha Vyaadhi,Udara --) Pleehodara
Arha Vyaadhi,Udara --) Vaataja
Arha Vyaadhi,Udarda
Arha Vyaadhi,Unmaada
Arha Vyaadhi,Unmaada --) Aagantuka
Arha Vyaadhi,Unmaada --) Avasthaa --) Baala Rugn`a
Arha Vyaadhi,Unmaada --) Nija
Arha Vyaadhi,Unmaada --) Vaataja
Arha Vyaadhi,Vaamanatva
Arha Vyaadhi,Vaata Sanga
Arha Vyaadhi,Vaatarakta
Arha Vyaadhi,Vaatarakta --) Avasthaa --) Daaha
Arha Vyaadhi,Vaatarakta --) Avasthaa --) Jvara + Daaha + Arti
Arha Vyaadhi,Vaatarakta --) Avasthaa --) S`hoola
Arha Vyaadhi,Vaatarakta --) Avasthaa --) Upadrava
Arha Vyaadhi,Vaatarakta --) Avasthaa --) Vaatarujaa
Arha Vyaadhi,Vaatarakta --) Kaphaadhika Vaatarakta
Arha Vyaadhi,Vaatarakta --) Kaphaadhika Vaatarakta --) S`hopha + Gaurava + Kan`d`oo
Arha Vyaadhi,Vaatarakta --) Raktaadhika Vaatarakta
Arha Vyaadhi,Vaatarakta --) Tridoshaja
Arha Vyaadhi,Vaatarakta --) Uttaana
Arha Vyaadhi,Vaatarakta --) Vaataadhika Vaatarakta
Arha Vyaadhi,Vaatavyaadhi
Arha Vyaadhi,Vaatavyaadhi --) Aakshepaka
Arha Vyaadhi,Vaatavyaadhi --) Aavritavaata
